date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disaster_norm,environmental cooperation_norm,environmental government initiatives_norm,environmental security_norm,environmental -999_norm,environmental arrest_norm,human-induced disaster_norm,displacement_norm,-999_norm,environmental legal action_norm,environmental opinion_norm,slow-onset environmental disaster_norm,environmental corruption_norm,environmental crime_norm,environmental legal change_norm,environmental activism_norm,environmental corporate initiatives_norm,lethal environmental violence_norm,environmental protests_norm,nonlethal environmental violence_norm
2014-09-01,2014,9,1,0,0,0,7,0,5,0,3,0,4,2,1,0,0,0,0,0,0,0,21,21,23,1707,0.0005858230814294080,0.0,0.0,0.0,0.004100761570005860,0.0,0.0029291154071470400,0.0,0.0017574692442882200,0.0,0.0023432923257176300,0.0011716461628588200,0.0005858230814294080,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,2014,10,2,1,2,0,8,0,4,0,5,0,5,2,0,0,0,1,2,0,0,1,30,30,33,1871,0.0010689470871191900,0.0005344735435595940,0.0010689470871191900,0.0,0.00427578834847675,0.0,0.002137894174238380,0.0,0.002672367717797970,0.0,0.002672367717797970,0.0010689470871191900,0.0,0.0,0.0,0.0005344735435595940,0.0010689470871191900,0.0,0.0,0.0005344735435595940
2014-11-01,2014,11,24,2,3,0,3,0,3,0,5,0,7,0,1,0,1,1,0,0,2,0,50,50,52,1703,0.014092777451556100,0.0011743981209630100,0.0017615971814445100,0.0,0.0017615971814445100,0.0,0.0017615971814445100,0.0,0.002935995302407520,0.0,0.004110393423370520,0.0,0.0005871990604815030,0.0,0.0005871990604815030,0.0005871990604815030,0.0,0.0,0.0011743981209630100,0.0
2014-12-01,2014,12,10,0,3,0,8,0,7,1,8,0,5,4,0,0,1,0,0,0,0,0,41,41,47,1740,0.005747126436781610,0.0,0.0017241379310344800,0.0,0.004597701149425290,0.0,0.004022988505747130,0.0005747126436781610,0.004597701149425290,0.0,0.0028735632183908000,0.0022988505747126400,0.0,0.0,0.0005747126436781610,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015,1,1,1,5,0,8,0,4,0,3,0,4,1,1,0,0,0,0,0,1,0,25,25,29,1988,0.0005030181086519120,0.0005030181086519120,0.0025150905432595600,0.0,0.004024144869215290,0.0,0.002012072434607650,0.0,0.0015090543259557300,0.0,0.002012072434607650,0.0005030181086519120,0.0005030181086519120,0.0,0.0,0.0,0.0,0.0,0.0005030181086519120,0.0
2015-02-01,2015,2,3,0,3,0,2,0,1,1,5,0,3,1,0,0,0,1,0,0,0,0,18,18,20,1592,0.0018844221105527600,0.0,0.0018844221105527600,0.0,0.001256281407035180,0.0,0.000628140703517588,0.000628140703517588,0.00314070351758794,0.0,0.0018844221105527600,0.000628140703517588,0.0,0.0,0.0,0.000628140703517588,0.0,0.0,0.0,0.0
2015-03-01,2015,3,3,2,3,0,9,0,5,0,11,0,10,3,0,0,1,0,2,0,1,1,47,47,51,2513,0.001193792280143260,0.0007958615200955030,0.001193792280143260,0.0,0.003581376840429770,0.0,0.0019896538002387600,0.0,0.004377238360525270,0.0,0.003979307600477520,0.001193792280143260,0.0,0.0,0.0003979307600477520,0.0,0.0007958615200955030,0.0,0.0003979307600477520,0.0003979307600477520
2015-04-01,2015,4,1,1,7,0,14,0,8,0,9,1,9,4,0,0,0,2,1,0,0,0,48,48,57,2443,0.00040933278755628300,0.00040933278755628300,0.0028653295128939800,0.0,0.0057306590257879700,0.0,0.003274662300450270,0.0,0.0036839950880065500,0.00040933278755628300,0.0036839950880065500,0.001637331150225130,0.0,0.0,0.0,0.0008186655751125670,0.00040933278755628300,0.0,0.0,0.0
2015-05-01,2015,5,1,0,6,0,9,0,2,0,5,1,9,1,0,0,2,0,1,0,1,0,34,34,38,2293,0.0004361098996947230,0.0,0.0026166593981683400,0.0,0.0039249890972525100,0.0,0.0008722197993894460,0.0,0.002180549498473620,0.0004361098996947230,0.0039249890972525100,0.0004361098996947230,0.0,0.0,0.0008722197993894460,0.0,0.0004361098996947230,0.0,0.0004361098996947230,0.0
2015-06-01,2015,6,2,2,6,0,13,0,7,0,6,1,10,5,0,0,0,1,1,0,0,0,46,46,54,2474,0.0008084074373484240,0.0008084074373484240,0.002425222312045270,0.0,0.005254648342764750,0.0,0.0028294260307194800,0.0,0.002425222312045270,0.0004042037186742120,0.004042037186742120,0.002021018593371060,0.0,0.0,0.0,0.0004042037186742120,0.0004042037186742120,0.0,0.0,0.0
2015-07-01,2015,7,0,2,1,0,2,0,5,0,5,0,7,4,0,0,0,0,0,0,0,0,21,21,26,2207,0.0,0.0009062075215224290,0.00045310376076121400,0.0,0.0009062075215224290,0.0,0.0022655188038060700,0.0,0.0022655188038060700,0.0,0.0031717263253285000,0.0018124150430448600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
